#Q^2_ave,W_ave,Q^2,W,-t,sigL,sigL_err_1,sigL_err_2,sigT,sigT_err,sigLT,sigLT_err,sigTT,sigTT_err
0.6,1.95,0.526,1.983,0.026,31.36,1.602,1.927,8.672,1.241,1.982,0.491,-0.187,0.71
0.6,1.95,0.576,1.956,0.038,24.41,1.119,1.774,10.66,1.081,1.581,0.288,-2.034,0.427
0.6,1.95,0.612,1.942,0.05,20.24,1.044,1.583,10.52,1,0.409,0.255,-3.811,0.406
0.6,1.95,0.631,1.934,0.062,14.87,1.155,1.366,10.82,0.992,-0.745,0.302,-5.117,0.524
0.6,1.95,0.646,1.929,0.074,11.23,1.469,1.21,10.77,1.097,-1.02,0.39,-6.966,0.816
0.75,1.95,0.66,1.992,0.037,20.6,1.976,1.895,9.812,1.532,0.565,0.393,0.208,0.623
0.75,1.95,0.707,1.961,0.051,16.28,1.509,1.788,10.44,1.344,1.135,0.268,-0.454,0.42
0.75,1.95,0.753,1.943,0.065,14.99,1.27,1.573,8.58,1.15,0.618,0.206,-1.91,0.378
0.75,1.95,0.781,1.93,0.079,11.17,1.214,1.416,9.084,1.091,-0.409,0.197,-2.547,0.419
0.75,1.95,0.794,1.926,0.093,9.949,1.376,1.277,8.267,1.11,-0.827,0.22,-3.474,0.534
1,1.95,0.877,1.999,0.06,14.28,1.157,1.103,7.084,0.791,1.049,0.294,-0.794,0.474
1,1.95,0.945,1.97,0.08,11.84,0.887,0.978,6.526,0.657,1.339,0.205,-1.584,0.329
1,1.95,1.01,1.943,0.1,9.732,0.773,0.837,5.656,0.572,0.719,0.164,-0.582,0.302
1,1.95,1.05,1.926,0.12,7.116,0.789,0.747,5.926,0.57,0.331,0.158,-1.277,0.36
1,1.95,1.067,1.921,0.14,4.207,1.012,0.612,5.802,0.656,0.087,0.187,-0.458,0.471
1.6,1.95,1.455,2.001,0.135,5.618,0.431,0.442,3.613,0.294,0.537,0.125,-0.022,0.2
1.6,1.95,1.532,1.975,0.165,4.378,0.356,0.39,3.507,0.257,0.356,0.095,-0.268,0.156
1.6,1.95,1.61,1.944,0.195,3.191,0.322,0.351,3.528,0.241,0.143,0.081,-0.126,0.153
1.6,1.95,1.664,1.924,0.225,2.357,0.313,0.31,3.354,0.228,-0.028,0.076,-0.241,0.167
1.6,1.95,1.702,1.911,0.255,2.563,0.356,0.268,2.542,0.227,-0.1,0.085,-0.083,0.196
1.6,2.22,1.416,2.274,0.079,6.06,0.464,0.564,2.802,0.27,0.195,0.073,-0.346,0.177
1.6,2.22,1.513,2.242,0.112,4.47,0.342,0.457,2.459,0.21,0.37,0.081,-0.5,0.169
1.6,2.22,1.593,2.213,0.139,3.661,0.303,0.397,2.198,0.19,0.334,0.089,-0.481,0.139
1.6,2.22,1.667,2.187,0.166,2.975,0.294,0.358,2.124,0.18,0.235,0.081,-0.469,0.139
1.6,2.22,1.763,2.153,0.215,1.63,0.292,0.315,2.369,0.19,0.247,0.087,-0.823,0.3
2.45,2.22,2.215,2.308,0.145,2.078,0.18,0.229,1.635,0.11,0.217,0.034,-0.06,0.163
2.45,2.22,2.279,2.264,0.202,1.365,0.125,0.179,1.395,0.08,0.168,0.025,-0.199,0.066
2.45,2.22,2.411,2.223,0.245,0.98,0.11,0.159,1.337,0.08,0.159,0.023,-0.163,0.045
2.45,2.22,2.539,2.181,0.288,0.786,0.114,0.15,1.304,0.08,0.128,0.018,-0.187,0.12
2.45,2.22,2.703,2.127,0.365,0.564,0.123,0.137,1.24,0.08,0.161,0.02,-0.234,0.109
